/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.060 --> 00:00.160] you
[00:29.500 --> 00:36.580] [*]
[00:36.580 --> 00:37.160] just
[00:37.160 --> 00:37.520] like
[00:37.520 --> 00:37.920] in
[00:37.920 --> 00:38.100] [*]
[00:38.100 --> 00:38.520] general
[00:38.520 --> 00:38.920] i
[00:38.920 --> 00:39.200] think
[00:39.200 --> 00:39.440] things
[00:39.440 --> 00:39.560] have
[00:39.560 --> 00:39.780] been
[00:39.780 --> 00:40.000] going
[00:40.000 --> 00:40.180] [*]
[00:40.180 --> 00:40.300] good
[00:40.300 --> 00:40.960] [*]
[00:40.960 --> 00:41.560] it's
[00:41.560 --> 00:41.780] just
[00:41.780 --> 00:42.600] [*]
[00:42.600 --> 00:43.140] like
[00:43.140 --> 00:43.400] the
[00:43.400 --> 00:43.860] basic
[00:45.600 --> 00:45.600] life
[00:45.600 --> 00:46.060] of
[00:46.060 --> 00:46.180] an
[00:46.180 --> 00:46.380] eighth
[00:46.380 --> 00:46.780] grader
[00:46.780 --> 00:46.840] i
[00:46.840 --> 00:47.140] guess
[00:47.140 --> 00:47.560] like
[00:47.560 --> 00:47.840] you
[00:47.840 --> 00:48.000] [*]
[00:48.000 --> 00:48.140] just
[00:48.140 --> 00:48.800] go
[00:48.800 --> 00:48.980] to
[00:48.980 --> 00:49.320] school
[00:49.320 --> 00:50.500] [*]
[00:50.500 --> 00:50.780] and
[00:50.780 --> 00:51.100] do
[00:51.100 --> 00:51.320] all
[00:51.320 --> 00:51.520] that
[00:51.520 --> 00:51.780] stuff
[00:51.780 --> 00:52.020] so
[00:52.640 --> 00:52.900] [*]
[00:52.900 --> 00:53.580] it's
[00:53.580 --> 00:53.740] been
[00:53.740 --> 00:53.980] good
[00:53.980 --> 00:54.320] nothing
[00:54.320 --> 00:54.560] out
[00:54.560 --> 00:54.760] of
[00:54.760 --> 00:54.880] the
[00:54.880 --> 00:55.200] ordinary
[01:06.840 --> 01:06.840] um
[01:06.840 --> 01:07.740] so
[01:07.740 --> 01:08.040] like
[01:08.040 --> 01:08.500] schedule
[01:08.500 --> 01:09.000] wise
[01:09.000 --> 01:10.540] [*]
[01:10.540 --> 01:10.960] um
[01:10.960 --> 01:11.760] [*]
[01:11.760 --> 01:12.480] so
[01:12.480 --> 01:12.780] i
[01:12.780 --> 01:13.000] go
[01:13.000 --> 01:13.140] to
[01:13.140 --> 01:13.420] school
[01:13.420 --> 01:13.820] every
[01:13.820 --> 01:14.100] day
[01:14.100 --> 01:14.520] [*]
[01:14.520 --> 01:14.840] um
[01:14.840 --> 01:15.640] [*]
[01:15.640 --> 01:15.880] and
[01:15.880 --> 01:16.100] then
[01:16.100 --> 01:16.200] a
[01:16.200 --> 01:16.320] lot
[01:16.320 --> 01:16.420] of
[01:16.420 --> 01:16.720] times
[01:16.720 --> 01:17.140] i
[01:17.140 --> 01:17.400] on
[01:17.400 --> 01:17.880] mondays
[01:17.880 --> 01:17.980] and
[01:17.980 --> 01:18.420] fridays
[01:18.420 --> 01:18.740] i
[01:18.740 --> 01:18.960] [*]
[01:18.960 --> 01:19.100] have
[01:19.100 --> 01:19.440] [*]
[01:19.440 --> 01:19.620] swim
[01:19.620 --> 01:20.200] practice
[01:20.200 --> 01:20.440] in
[01:20.440 --> 01:20.580] the
[01:20.580 --> 01:20.960] morning
[01:20.960 --> 01:21.360] at
[01:21.360 --> 01:21.700] 5
[01:21.700 --> 01:22.000] [*]
[01:22.000 --> 01:22.180] 30
[01:22.180 --> 01:22.680] [*]
[01:22.680 --> 01:23.180] until
[01:23.180 --> 01:23.620] 7
[01:23.620 --> 01:23.960] [*]
[01:23.960 --> 01:24.500] and
[01:24.500 --> 01:24.820] [*]
[01:24.820 --> 01:24.980] then
[01:24.980 --> 01:25.300] i
[01:25.300 --> 01:25.580] have
[01:25.580 --> 01:25.620] [*]
[01:25.620 --> 01:26.380] um
[01:26.380 --> 01:26.820] [*]
[01:26.820 --> 01:27.080] a
[01:27.080 --> 01:27.340] swim
[01:27.340 --> 01:27.720] practice
[01:27.720 --> 01:28.340] every
[01:28.340 --> 01:28.980] weeknight
[01:28.980 --> 01:29.300] [*]
[01:29.300 --> 01:29.500] and
[01:29.500 --> 01:30.120] saturday
[01:30.120 --> 01:30.480] mornings
[01:30.480 --> 01:32.080] [*]
[01:32.080 --> 01:32.240] um
[01:32.240 --> 01:32.680] and
[01:32.680 --> 01:32.880] then
[01:32.880 --> 01:32.940] i
[01:32.940 --> 01:33.140] also
[01:33.140 --> 01:33.300] go
[01:33.300 --> 01:33.420] to
[01:33.420 --> 01:33.560] like
[01:33.560 --> 01:33.880] my
[01:33.880 --> 01:34.120] [*]
[01:34.120 --> 01:34.640] base
[01:34.640 --> 01:35.160] lessons
[01:35.160 --> 01:35.540] when
[01:35.540 --> 01:35.620] i
[01:35.620 --> 01:35.720] put
[01:35.720 --> 01:36.000] upright
[01:36.000 --> 01:36.380] base
[01:36.380 --> 01:36.720] [*]
[01:36.720 --> 01:37.260] and
[01:37.260 --> 01:37.360] [*]
[01:37.360 --> 01:37.920] my
[01:37.920 --> 01:38.180] [*]
[01:38.180 --> 01:38.320] other
[01:38.320 --> 01:38.540] swim
[01:38.540 --> 01:38.900] lesson
[01:38.900 --> 01:39.060] with
[01:39.060 --> 01:39.220] my
[01:39.220 --> 01:39.480] private
[01:39.480 --> 01:39.820] coach
[01:41.960 --> 01:41.960] and
[01:41.960 --> 01:42.260] that's
[01:42.260 --> 01:42.360] pretty
[01:42.360 --> 01:42.620] much
[01:42.620 --> 01:42.820] every
[01:42.820 --> 01:43.120] week
[01:43.120 --> 01:43.360] so
[01:43.360 --> 01:45.960] [*]
[01:45.960 --> 01:47.620] yeah
[01:47.620 --> 01:47.980] it
[01:47.980 --> 01:48.220] is
[01:48.220 --> 01:48.680] it's
[01:48.680 --> 01:48.840] and
[01:48.840 --> 01:49.020] a
[01:49.020 --> 01:49.160] lot
[01:49.160 --> 01:49.240] of
[01:49.240 --> 01:49.440] the
[01:49.440 --> 01:49.800] things
[01:49.800 --> 01:49.980] i
[01:49.980 --> 01:50.120] do
[01:50.120 --> 01:50.260] are
[01:50.260 --> 01:50.420] back
[01:50.420 --> 01:50.640] to
[01:50.640 --> 01:50.960] back
[01:50.960 --> 01:51.300] [*]
[01:51.300 --> 01:51.460] so
[01:51.460 --> 01:53.020] [*]
[01:53.020 --> 01:53.500] yeah
[01:54.680 --> 01:55.560] [*]
[01:55.560 --> 01:55.680] um
[01:55.680 --> 01:58.240] [*]
[01:58.240 --> 01:58.780] yeah
[01:58.780 --> 01:59.500] i
[01:59.500 --> 02:00.000] like
[02:00.000 --> 02:00.860] i
[02:00.860 --> 02:01.080] like
[02:01.080 --> 02:01.160] to
[02:01.160 --> 02:01.460] find
[02:01.460 --> 02:01.940] a
[02:01.940 --> 02:02.300] few
[02:02.300 --> 02:02.520] [*]
[02:02.520 --> 02:02.700] things
[02:02.700 --> 02:03.040] that
[02:03.040 --> 02:03.100] i
[02:03.100 --> 02:03.360] really
[02:03.360 --> 02:03.700] like
[02:03.700 --> 02:03.900] and
[02:03.900 --> 02:04.100] do
[02:04.100 --> 02:04.400] them
[02:04.400 --> 02:04.620] like
[02:04.620 --> 02:04.780] all
[02:04.780 --> 02:04.900] the
[02:04.900 --> 02:05.200] time
[02:05.200 --> 02:05.860] and
[02:05.860 --> 02:06.060] like
[02:06.060 --> 02:06.260] i
[02:06.260 --> 02:06.680] don't
[02:06.680 --> 02:07.040] like
[02:07.040 --> 02:07.500] having
[02:09.740 --> 02:09.740] nothing
[02:09.740 --> 02:10.060] to
[02:10.060 --> 02:10.280] do
[02:10.280 --> 02:10.620] [*]
[02:10.620 --> 02:10.920] like
[02:10.920 --> 02:11.040] i
[02:11.040 --> 02:11.240] always
[02:11.240 --> 02:11.440] have
[02:11.440 --> 02:11.580] to
[02:11.580 --> 02:11.660] have
[02:11.660 --> 02:11.860] something
[02:11.860 --> 02:12.000] to
[02:12.000 --> 02:12.200] do
[02:12.200 --> 02:12.340] or
[02:12.340 --> 02:12.520] else
[02:12.520 --> 02:12.640] it
[02:12.640 --> 02:12.980] messes
[02:12.980 --> 02:13.040] up
[02:13.040 --> 02:13.180] my
[02:13.180 --> 02:13.400] entire
[02:13.400 --> 02:13.880] schedule
[02:24.860 --> 02:25.340] yeah
[02:25.340 --> 02:25.960] [*]
[02:25.960 --> 02:26.620] um
[02:26.620 --> 02:27.340] [*]
[02:27.340 --> 02:28.080] i
[02:28.080 --> 02:28.940] [*]
[02:28.940 --> 02:29.080] really
[02:29.080 --> 02:29.680] [*]
[02:29.680 --> 02:29.840] like
[02:29.840 --> 02:30.480] i
[02:30.480 --> 02:30.680] like
[02:30.680 --> 02:30.820] to
[02:30.820 --> 02:30.980] ride
[02:30.980 --> 02:31.120] my
[02:31.120 --> 02:31.380] bike
[02:31.380 --> 02:31.640] and
[02:31.640 --> 02:31.760] i
[02:31.760 --> 02:31.920] like
[02:31.920 --> 02:32.040] to
[02:32.040 --> 02:32.300] watch
[02:32.300 --> 02:32.700] movies
[02:32.700 --> 02:33.080] like
[02:33.080 --> 02:33.200] i
[02:33.200 --> 02:33.820] really
[02:33.820 --> 02:34.400] [*]
[02:34.400 --> 02:34.740] like
[02:34.740 --> 02:34.880] to
[02:34.880 --> 02:35.140] watch
[02:35.140 --> 02:35.580] movies
[02:35.580 --> 02:35.860] and
[02:35.860 --> 02:36.120] read
[02:36.120 --> 02:36.480] books
[02:36.480 --> 02:36.880] and
[02:36.880 --> 02:37.100] ride
[02:37.100 --> 02:37.240] my
[02:37.240 --> 02:37.500] bike
[02:37.500 --> 02:44.040] [*]
[02:44.040 --> 02:44.500] um
[02:44.500 --> 02:45.080] [*]
[02:45.080 --> 02:45.220] so
[02:45.220 --> 02:45.580] [*]
[02:45.580 --> 02:45.760] books
[02:45.760 --> 02:46.200] [*]
[02:46.200 --> 02:46.440] i
[02:46.440 --> 02:46.740] like
[02:46.740 --> 02:47.160] ones
[02:47.160 --> 02:47.700] i
[02:47.700 --> 02:47.960] think
[02:47.960 --> 02:48.220] [*]
[02:48.220 --> 02:48.400] like
[02:48.400 --> 02:48.600] the
[02:48.600 --> 02:48.920] realistic
[02:48.920 --> 02:49.400] fiction
[02:49.400 --> 02:49.800] ones
[02:49.800 --> 02:50.060] like
[02:50.060 --> 02:50.200] the
[02:50.200 --> 02:50.320] ones
[02:50.320 --> 02:50.460] that
[02:50.460 --> 02:50.560] are
[02:50.560 --> 02:50.660] more
[02:50.660 --> 02:50.900] like
[02:50.900 --> 02:51.220] things
[02:51.220 --> 02:51.360] [*]
[02:51.360 --> 02:51.500] that
[02:51.500 --> 02:51.600] could
[02:51.600 --> 02:51.820] happen
[02:51.820 --> 02:51.920] in
[02:51.920 --> 02:52.100] real
[02:52.100 --> 02:52.440] life
[02:52.440 --> 02:52.980] [*]
[02:52.980 --> 02:53.260] but
[02:53.260 --> 02:53.500] then
[02:53.500 --> 02:53.620] on
[02:53.620 --> 02:53.740] the
[02:53.740 --> 02:53.980] other
[02:53.980 --> 02:54.180] [*]
[02:54.180 --> 02:54.320] hand
[02:54.320 --> 02:54.540] i
[02:54.540 --> 02:54.900] also
[02:54.900 --> 02:55.360] like
[02:55.360 --> 02:55.540] like
[02:55.540 --> 02:55.820] [*]
