/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:18.500 --> 00:18.500] um
[00:18.500 --> 00:19.700] [*]
[00:19.700 --> 00:20.080] okay
[00:20.080 --> 00:20.740] uh
[00:20.740 --> 00:21.100] things
[00:21.100 --> 00:21.260] have
[00:21.260 --> 00:21.380] been
[00:21.380 --> 00:21.580] going
[00:21.580 --> 00:22.000] [*]
[00:22.000 --> 00:22.380] relatively
[00:22.380 --> 00:22.860] [*]
[00:22.860 --> 00:23.000] well
[00:23.000 --> 00:23.340] i'm
[00:23.340 --> 00:23.600] currently
[00:23.600 --> 00:23.900] on
[00:23.900 --> 00:24.140] my
[00:24.140 --> 00:24.640] [*]
[00:24.640 --> 00:24.800] break
[00:24.800 --> 00:25.320] um
[00:25.320 --> 00:25.640] i'll
[00:25.640 --> 00:25.820] start
[00:25.820 --> 00:26.380] school
[00:26.380 --> 00:26.840] again
[00:26.840 --> 00:27.040] on
[00:27.040 --> 00:27.500] tuesday
[00:27.500 --> 00:28.000] [*]
[00:28.000 --> 00:28.360] so
[00:28.360 --> 00:28.640] it's
[00:28.640 --> 00:28.780] been
[00:28.780 --> 00:29.260] [*]
[00:29.260 --> 00:29.420] pretty
[00:29.420 --> 00:29.660] nice
[00:29.660 --> 00:30.260] relaxing
[00:30.260 --> 00:30.820] [*]
[00:30.820 --> 00:31.140] um
[00:31.140 --> 00:32.160] [*]
[00:32.160 --> 00:32.740] yeah
[00:32.740 --> 00:36.700] [*]
[00:36.700 --> 00:37.000] um
[00:37.000 --> 00:38.600] it's
[00:38.600 --> 00:38.780] been
[00:38.780 --> 00:39.200] kind
[00:39.200 --> 00:39.480] of
[00:39.480 --> 00:39.920] hectic
[00:39.920 --> 00:40.380] i've
[00:40.380 --> 00:40.760] i
[00:40.760 --> 00:41.060] went
[00:41.060 --> 00:41.400] to
[00:41.400 --> 00:41.840] um
[00:41.840 --> 00:42.500] [*]
[00:42.500 --> 00:42.720] a
[00:42.720 --> 00:43.020] [*]
[00:43.020 --> 00:43.400] iowa
[00:43.400 --> 00:43.740] state
[00:43.740 --> 00:44.160] football
[00:44.160 --> 00:44.660] game
[00:44.660 --> 00:45.160] um
[00:45.160 --> 00:45.460] in
[00:45.460 --> 00:45.880] memphis
[00:45.880 --> 00:46.600] um
[00:46.600 --> 00:46.900] so
[00:46.900 --> 00:47.100] took
[00:47.100 --> 00:47.340] like
[00:47.340 --> 00:47.500] a
[00:47.500 --> 00:47.740] car
[00:47.740 --> 00:48.000] trip
[00:48.000 --> 00:48.260] down
[00:48.260 --> 00:48.500] there
[00:48.500 --> 00:48.680] which
[00:48.680 --> 00:48.840] was
[00:48.840 --> 00:48.980] [*]
[00:48.980 --> 00:49.180] fun
[00:49.180 --> 00:49.480] [*]
[00:49.480 --> 00:49.700] um
[00:49.700 --> 00:50.280] [*]
[00:50.280 --> 00:50.700] i
[00:50.700 --> 00:50.900] was
[00:50.900 --> 00:51.120] just
[00:51.120 --> 00:51.280] in
[00:51.280 --> 00:51.640] ames
[00:51.640 --> 00:51.800] with
[00:51.800 --> 00:51.960] my
[00:51.960 --> 00:52.300] fiance
[00:52.300 --> 00:52.600] for
[00:52.600 --> 00:52.760] a
[00:55.460 --> 00:56.060] in
[00:56.060 --> 00:56.240] a
[00:56.240 --> 00:56.380] [*]
[00:56.380 --> 00:56.480] couple
[00:56.480 --> 00:56.720] days
[00:56.720 --> 00:56.980] i'll
[00:56.980 --> 00:57.060] be
[00:57.060 --> 00:57.200] going
[00:57.200 --> 00:57.680] bridesmaid
[00:57.680 --> 00:57.840] dress
[00:57.840 --> 00:58.180] shopping
[00:58.180 --> 00:58.520] so
[00:58.520 --> 00:58.620] a
[00:58.620 --> 00:58.780] lot
[00:58.780 --> 00:58.880] of
[00:58.880 --> 00:59.080] fun
[00:59.080 --> 00:59.760] little
[00:59.760 --> 01:00.160] things
[01:00.160 --> 01:00.780] um
[01:00.780 --> 01:01.360] [*]
[01:01.360 --> 01:01.700] but
[01:01.700 --> 01:02.240] [*]
[01:02.240 --> 01:02.660] yeah
[01:07.680 --> 01:07.680] yeah
[01:07.680 --> 01:07.860] yeah
[01:07.860 --> 01:07.920] [*]
[01:07.920 --> 01:08.580] yep
[01:08.580 --> 01:08.900] for
[01:08.900 --> 01:09.480] yep
[01:09.480 --> 01:09.680] i'll
[01:09.680 --> 01:09.740] be
[01:09.740 --> 01:09.900] taking
[01:09.900 --> 01:10.020] all
[01:10.020 --> 01:10.220] my
