/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:24.920 --> 00:24.920] um
[00:24.920 --> 00:25.400] honestly
[00:25.400 --> 00:25.740] not
[00:25.740 --> 00:26.040] super
[00:26.040 --> 00:26.400] great
[00:26.400 --> 00:26.760] it's
[00:26.760 --> 00:26.880] been
[00:26.880 --> 00:27.000] kind
[00:27.000 --> 00:27.180] of
[00:27.180 --> 00:27.280] a
[00:27.280 --> 00:27.820] tumultuous
[00:27.820 --> 00:28.220] time
[00:28.220 --> 00:29.280] um
[00:29.280 --> 00:30.360] [*]
[00:30.360 --> 00:30.620] i
[00:30.620 --> 00:30.840] don't
[00:30.840 --> 00:30.960] know
[00:30.960 --> 00:31.140] things
[00:31.140 --> 00:31.380] are
[00:31.380 --> 00:32.120] [*]
[00:32.120 --> 00:32.300] seem
[00:32.300 --> 00:32.500] to
[00:32.500 --> 00:32.660] be
[00:32.660 --> 00:32.760] on
[00:32.760 --> 00:32.860] the
[00:32.860 --> 00:33.000] up
[00:33.000 --> 00:33.200] and
[00:33.200 --> 00:33.360] up
[00:33.360 --> 00:33.900] [*]
[00:33.900 --> 00:34.000] hopefully
[00:34.000 --> 00:35.720] [*]
[00:35.720 --> 00:35.980] yeah
[00:39.800 --> 00:39.800] um
[00:39.800 --> 00:40.040] [*]
[00:40.040 --> 00:40.300] i
[00:40.300 --> 00:40.520] [*]
[00:40.520 --> 00:41.340] don't
[00:41.340 --> 00:41.440] know
[00:41.440 --> 00:41.860] i've
[00:41.860 --> 00:42.320] like
[00:42.320 --> 00:43.460] [*]
[00:43.460 --> 00:43.940] always
[00:43.940 --> 00:44.300] struggled
[00:44.300 --> 00:44.480] with
[00:44.480 --> 00:44.660] mental
[00:44.660 --> 00:44.880] [*]
[00:44.880 --> 00:45.000] health
[00:45.000 --> 00:45.220] and
[00:45.220 --> 00:45.360] so
[00:45.360 --> 00:45.580] it's
[00:45.580 --> 00:45.620] just
[00:45.620 --> 00:45.780] kind
[00:45.780 --> 00:45.960] of
[00:45.960 --> 00:46.500] culminated
[00:46.500 --> 00:46.780] to
[00:46.780 --> 00:47.060] the
[00:47.060 --> 00:47.420] break
[00:47.420 --> 00:48.220] [*]
[00:48.220 --> 00:48.500] time
[00:48.500 --> 00:49.300] [*]
[00:49.300 --> 00:49.420] um
[00:49.420 --> 00:50.260] [*]
[00:50.260 --> 00:50.620] and
[00:50.620 --> 00:50.780] just
[00:50.780 --> 00:50.920] kind
[00:50.920 --> 00:51.100] of
[00:51.100 --> 00:51.340] like
[00:51.340 --> 00:52.040] trying
[00:52.040 --> 00:52.200] to
[00:52.200 --> 00:52.320] get
