/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:00.160] You
[00:29.540 --> 00:31.440] [*]
[00:31.440 --> 00:31.600] Um
[00:37.460 --> 00:37.620] [*]
[00:37.620 --> 00:38.400] Fine
[00:38.600 --> 00:38.800] I
[00:38.800 --> 00:39.080] guess
[00:39.080 --> 00:39.320] I
[00:39.320 --> 00:39.640] don't
[00:39.640 --> 00:39.800] know
[00:39.800 --> 00:40.240] [*]
[00:40.240 --> 00:40.620] it's
[00:40.620 --> 00:40.680] a
[00:40.680 --> 00:40.900] very
[00:40.900 --> 00:41.480] open-ended
[00:41.480 --> 00:41.940] question
[00:49.820 --> 00:50.380] [*]
[00:50.380 --> 00:50.880] Uh
[00:51.100 --> 00:51.880] How
[00:51.880 --> 00:52.360] things
[00:52.360 --> 00:52.780] [*]
[00:52.780 --> 00:53.020] been
[00:53.020 --> 00:53.760] lately
[00:53.760 --> 00:54.660] [*]
[00:54.660 --> 00:54.920] for
[00:54.920 --> 00:55.100] [*]
[00:55.100 --> 00:55.260] me
[00:55.400 --> 00:55.580] I
[00:55.580 --> 00:55.900] guess
[00:57.540 --> 00:58.560] Better
[00:58.560 --> 00:58.880] than
[00:58.880 --> 00:59.020] the
[00:59.020 --> 00:59.420] same
[00:59.420 --> 00:59.680] time
[00:59.680 --> 01:00.100] Last
[01:00.100 --> 01:00.520] [*]
[01:00.520 --> 01:00.800] year
[01:00.800 --> 01:01.880] [*]
[01:01.880 --> 01:02.060] Uh
[01:02.340 --> 01:02.820] [*]
[01:02.820 --> 01:02.960] high
[01:02.960 --> 01:03.260] school
[01:03.260 --> 01:03.600] swimming
[01:03.600 --> 01:03.860] Started
[01:03.860 --> 01:03.920] [*]
[01:03.920 --> 01:04.420] up
[01:04.420 --> 01:04.580] so
[01:04.580 --> 01:04.760] I
[01:04.760 --> 01:04.900] had
[01:04.900 --> 01:05.140] to
[01:05.140 --> 01:05.320] like
[01:05.320 --> 01:05.500] get
[01:05.500 --> 01:05.740] up
[01:05.740 --> 01:05.880] at
[01:06.660 --> 01:07.060] 430
[01:07.060 --> 01:07.240] in
[01:07.240 --> 01:07.380] the
[01:07.380 --> 01:07.680] morning
[01:07.680 --> 01:07.840] For
[01:07.840 --> 01:08.160] that
[01:08.360 --> 01:08.940] [*]
[01:08.940 --> 01:09.120] um
[01:09.120 --> 01:09.920] But
[01:09.920 --> 01:10.700] I
[01:10.700 --> 01:11.080] don't
[01:11.080 --> 01:11.180] have
[01:11.180 --> 01:11.320] as
[01:11.320 --> 01:11.660] much
[01:11.660 --> 01:12.460] Homework
[01:12.460 --> 01:12.580] as
[01:12.580 --> 01:12.700] I
[01:12.700 --> 01:12.840] did
[01:12.840 --> 01:13.140] last
[01:13.140 --> 01:13.560] year
[01:13.560 --> 01:13.720] So
[01:13.720 --> 01:14.000] it's
[01:14.000 --> 01:14.220] working
[01:14.220 --> 01:14.440] [*]
[01:14.440 --> 01:14.620] out
[01:14.620 --> 01:14.900] [*]
[01:14.900 --> 01:15.020] okay
[01:15.020 --> 01:15.260] so
[01:15.260 --> 01:15.520] [*]
[01:15.520 --> 01:15.660] far
[01:26.280 --> 01:26.380] I'm
[01:26.380 --> 01:26.760] trying
[01:26.760 --> 01:27.160] I
[01:27.160 --> 01:27.380] think
[01:27.380 --> 01:27.700] I'm
[01:27.700 --> 01:27.880] doing
[01:27.880 --> 01:28.020] a
[01:28.020 --> 01:28.220] good
[01:28.220 --> 01:28.460] job
[01:28.460 --> 01:28.680] so
[01:28.680 --> 01:29.000] far
[01:29.000 --> 01:29.380] Um
[01:40.080 --> 01:40.080] I
[01:40.080 --> 01:40.240] think
[01:40.240 --> 01:40.760] pretty
[01:40.760 --> 01:41.160] [*]
[01:41.160 --> 01:41.320] well
[01:42.840 --> 01:42.840] For
[01:42.840 --> 01:43.140] my
[01:43.140 --> 01:43.760] family
[01:45.220 --> 01:45.220] Um
[01:47.100 --> 01:47.100] I
[01:47.100 --> 01:47.240] think
[01:47.240 --> 01:47.640] fine
[01:47.640 --> 01:47.840] My
[01:47.840 --> 01:48.280] brother's
[01:48.280 --> 01:48.480] been
[01:48.480 --> 01:48.800] staying
