/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:11.720] [*]
[00:11.720 --> 00:12.560] I
[00:12.560 --> 00:13.080] don't
[00:13.080 --> 00:13.100] know
[00:13.100 --> 00:13.120] what
[00:13.120 --> 00:13.500] I'm
[00:13.500 --> 00:13.680] doing
[00:29.500 --> 00:31.940] [*]
[00:31.940 --> 00:32.460] I
[00:32.460 --> 00:40.500] [*]
[00:40.500 --> 00:45.260] don't
[00:45.260 --> 00:45.260] know
[00:59.500 --> 01:07.720] [*]
[01:07.720 --> 01:08.420] Okay
[01:08.660 --> 01:08.980] it's
[01:08.980 --> 01:09.080] been
[01:09.080 --> 01:09.180] a
[01:09.180 --> 01:09.380] bit
[01:09.380 --> 01:09.740] hectic
[01:09.740 --> 01:10.180] since
[01:10.180 --> 01:10.600] school
[01:10.600 --> 01:11.040] started
[01:11.200 --> 01:11.440] but
[01:11.440 --> 01:11.720] I'm
[01:11.720 --> 01:11.900] [*]
[01:11.900 --> 01:12.020] adjusting
[01:12.020 --> 01:12.520] okay
[01:18.220 --> 01:18.560] [*]
[01:18.560 --> 01:19.280] No
[01:19.380 --> 01:19.660] it's
[01:19.660 --> 01:20.120] since
[01:20.120 --> 01:20.440] [*]
[01:20.440 --> 01:20.720] school
[01:20.720 --> 01:21.320] started
[01:21.460 --> 01:21.860] so
[01:21.860 --> 01:22.120] this
[01:22.120 --> 01:22.240] is
[01:22.240 --> 01:22.520] faster
[01:23.460 --> 01:23.720] [*]
[01:23.720 --> 01:24.240] Yeah
[01:29.500 --> 01:33.040] [*]
[01:33.040 --> 01:33.440] Yeah
[01:33.700 --> 01:34.240] it's
[01:34.240 --> 01:34.960] trying
[01:34.960 --> 01:35.340] to
[01:35.340 --> 01:35.460] get
[01:35.460 --> 01:35.640] into
[01:35.640 --> 01:35.840] the
[01:35.840 --> 01:36.100] groove
[01:36.100 --> 01:36.220] of
[01:36.220 --> 01:36.540] things
[01:36.540 --> 01:36.880] again
[01:37.120 --> 01:37.540] [*]
[01:37.540 --> 01:37.880] The
[01:37.880 --> 01:38.580] [*]
[01:38.580 --> 01:38.740] habit
[01:38.740 --> 01:38.920] of
[01:38.920 --> 01:39.200] [*]
[01:39.200 --> 01:39.300] studying
[01:39.300 --> 01:39.780] every
[01:39.780 --> 01:40.120] day
[01:42.560 --> 01:43.020] [*]
[01:43.020 --> 01:43.620] It's
[01:43.620 --> 01:43.660] been
[01:43.660 --> 01:43.760] a
[01:43.760 --> 01:44.300] smidge
[01:44.300 --> 01:45.380] [*]
[01:45.380 --> 01:45.900] lonelier
[01:45.900 --> 01:46.300] because
[01:46.300 --> 01:46.460] I
[01:46.460 --> 01:46.960] don't
[01:46.960 --> 01:47.140] get
[01:47.140 --> 01:47.400] to
[01:47.400 --> 01:47.700] talk
[01:47.700 --> 01:47.960] with
[01:47.960 --> 01:48.180] my
[01:48.180 --> 01:48.500] parents
