/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:27.540 --> 00:28.000] They've
[00:28.000 --> 00:28.160] been
[00:28.160 --> 00:28.500] going
[00:28.500 --> 00:28.880] pretty
[00:28.880 --> 00:29.260] good
[00:29.500 --> 00:30.280] [*]
[00:30.280 --> 00:30.740] Uh
[00:31.300 --> 00:33.340] [*]
[00:33.340 --> 00:34.360] well
[00:34.940 --> 00:37.060] [*]
[00:37.060 --> 00:37.820] yeah
[00:37.860 --> 00:38.100] things
[00:38.100 --> 00:38.220] have
[00:38.220 --> 00:38.560] been
[00:38.560 --> 00:39.280] going
[00:39.280 --> 00:39.920] pretty
[00:39.920 --> 00:40.080] [*]
[00:40.080 --> 00:40.340] good
[00:40.340 --> 00:40.660] lately
[00:41.960 --> 00:41.960] My
[00:41.960 --> 00:42.100] little
[00:42.100 --> 00:42.560] [*]
[00:42.560 --> 00:42.660] brother
[00:42.660 --> 00:42.960] has
[00:42.960 --> 00:43.240] [*]
[00:43.240 --> 00:43.400] been
[00:43.400 --> 00:44.060] [*]
[00:44.060 --> 00:44.240] extremely
[00:44.240 --> 00:45.080] [*]
[00:45.080 --> 00:45.760] angry
[00:45.760 --> 00:46.460] [*]
[00:46.460 --> 00:46.980] in
[00:46.980 --> 00:47.280] the
[00:47.280 --> 00:47.660] mornings
[00:47.840 --> 00:48.380] usually
[00:49.860 --> 00:50.300] [*]
[00:50.300 --> 00:50.920] Um
[00:51.040 --> 00:51.120] [*]
[00:51.120 --> 00:51.920] we
[00:51.920 --> 00:52.280] don't
[00:52.280 --> 00:52.480] really
[00:52.480 --> 00:52.940] know
[00:52.940 --> 00:53.200] He
[00:53.200 --> 00:53.540] kind
[00:53.540 --> 00:53.820] of
[00:53.820 --> 00:54.080] gets
[00:54.080 --> 00:54.500] [*]
[00:54.500 --> 00:54.800] angry
[00:54.800 --> 00:55.080] when
[00:55.080 --> 00:55.440] he's
[00:55.460 --> 00:55.620] like
[00:55.660 --> 00:55.960] [*]
[00:55.960 --> 00:56.200] hungry
[00:56.520 --> 00:56.980] [*]
[00:56.980 --> 00:57.420] we
[00:57.420 --> 00:57.720] think
[00:57.720 --> 00:57.980] But
[00:57.980 --> 00:59.380] [*]
[00:59.380 --> 00:59.600] whenever
[00:59.600 --> 00:59.960] he's
[00:59.960 --> 01:00.280] hungry...
[01:00.280 --> 01:00.720] When
[01:00.720 --> 01:00.720] he's
[01:00.720 --> 01:00.720] really
[01:00.720 --> 01:00.760] hungry
[01:00.900 --> 01:01.420] he
[01:01.420 --> 01:03.180] [*]
[01:03.180 --> 01:03.440] acts
[01:03.440 --> 01:05.140] [*]
[01:05.140 --> 01:05.300] like
[01:05.300 --> 01:05.580] a
[01:05.580 --> 01:05.760] little
[01:05.760 --> 01:05.940] [*]
[01:05.940 --> 01:06.080] demon
[01:06.300 --> 01:06.980] He's
[01:06.980 --> 01:07.660] very
[01:07.660 --> 01:09.020] [*]
[01:09.020 --> 01:09.260] angry
[01:09.260 --> 01:09.620] [*]
[01:09.620 --> 01:09.960] and
[01:09.960 --> 01:10.200] he
[01:10.200 --> 01:10.480] will
[01:10.480 --> 01:10.800] even
[01:10.800 --> 01:11.100] try
[01:11.100 --> 01:11.220] to
[01:11.220 --> 01:11.500] bite
[01:11.500 --> 01:11.820] you
[01:13.580 --> 01:13.820] [*]
[01:13.820 --> 01:14.360] Yes
[01:15.280 --> 01:16.320] You
[01:16.320 --> 01:16.620] don't
[01:16.620 --> 01:16.660] want
[01:16.660 --> 01:16.840] to
[01:16.840 --> 01:17.080] see
[01:17.080 --> 01:17.320] him
[01:17.320 --> 01:17.420] when
[01:17.420 --> 01:17.700] he's
[01:17.700 --> 01:17.940] angry
[01:23.620 --> 01:24.440] Um
[01:25.060 --> 01:25.960] [*]
[01:25.960 --> 01:26.660] I
[01:26.660 --> 01:27.100] usually
[01:27.100 --> 01:27.460] just
[01:27.460 --> 01:27.640] kind
[01:27.640 --> 01:28.060] of
[01:28.060 --> 01:28.420] back
[01:28.420 --> 01:28.840] [*]
[01:28.840 --> 01:29.020] away
[01:29.020 --> 01:29.600] and...
[01:29.600 --> 01:30.780] ...try
[01:30.780 --> 01:30.960] to
[01:30.960 --> 01:31.240] keep
[01:31.240 --> 01:31.460] my
[01:31.460 --> 01:31.860] distance
[01:31.860 --> 01:32.360] until
[01:32.360 --> 01:32.660] he
[01:32.660 --> 01:32.820] [*]
[01:32.820 --> 01:32.960] cools
[01:32.960 --> 01:33.340] down
[01:39.500 --> 01:40.340] Um
[01:40.740 --> 01:41.340] they
[01:41.340 --> 01:41.600] just
[01:41.600 --> 01:41.780] kind
[01:41.780 --> 01:41.940] of
[01:41.940 --> 01:42.120] try
[01:42.120 --> 01:42.280] to
[01:42.280 --> 01:43.140] force-feed
[01:43.140 --> 01:43.320] him
[01:43.320 --> 01:43.680] food
[01:47.580 --> 01:47.880] [*]
[01:47.880 --> 01:48.480] Yes
[01:52.500 --> 01:53.440] It's
[01:53.440 --> 01:54.040] usually
[01:54.040 --> 01:54.280] in
[01:54.280 --> 01:54.420] the
[01:54.420 --> 01:54.780] mornings
[01:54.780 --> 01:54.980] and
[01:54.980 --> 01:55.180] [*]
[01:55.180 --> 01:55.420] evenings
[01:55.700 --> 01:56.140] when
[01:56.140 --> 01:56.360] he's
[01:56.360 --> 01:56.520] really
[01:56.520 --> 01:56.820] tired
[01:58.480 --> 01:58.480] Yeah
[01:58.560 --> 01:58.860] [*]
[01:58.860 --> 01:59.480] Yeah
[01:59.480 --> 02:00.040] Yeah
[02:01.480 --> 02:01.480] Yeah
[02:01.540 --> 02:01.740] Yeah
[02:02.580 --> 02:03.500] [*]
[02:03.500 --> 02:04.480] Um...
[02:04.540 --> 02:04.820] Mmm
[02:15.300 --> 02:15.320] Well
[02:15.840 --> 02:15.920] I
[02:15.920 --> 02:16.280] haven't
[02:16.280 --> 02:16.500] really
[02:16.500 --> 02:16.700] been
[02:16.700 --> 02:16.920] at
[02:16.920 --> 02:17.280] school
[02:17.280 --> 02:17.640] in
[02:17.640 --> 02:17.800] a
[02:17.800 --> 02:18.040] while
[02:18.040 --> 02:19.340] Uh
[02:19.820 --> 02:20.820] [*]
[02:20.820 --> 02:21.480] my
[02:21.480 --> 02:21.820] [*]
[02:21.820 --> 02:21.980] friend
[02:21.980 --> 02:22.600] [*]
[02:22.600 --> 02:22.720] named
[02:22.720 --> 02:23.340] Abe
[02:23.340 --> 02:23.860] [*]
[02:23.860 --> 02:24.020] got
[02:24.020 --> 02:24.280] [*]
[02:24.280 --> 02:24.540] goat
[02:24.540 --> 02:24.860] [*]
[02:24.860 --> 02:24.980] simulator
[02:24.980 --> 02:25.360] for
[02:25.360 --> 02:25.920] Christmas
[02:28.460 --> 02:28.880] [*]
[02:28.880 --> 02:29.280] Have
[02:29.280 --> 02:29.400] you
[02:29.400 --> 02:29.480] ever
[02:29.480 --> 02:29.480] heard
[02:29.480 --> 02:29.480] of
[02:29.480 --> 02:29.480] goat
[02:29.480 --> 02:29.480] simulator
[02:29.480 --> 02:29.540] have
[02:29.540 --> 02:29.620] you
[02:29.620 --> 02:29.620] ever
[02:29.620 --> 02:29.740] heard
[02:29.740 --> 02:29.900] of
[02:29.900 --> 02:30.040] goat
[02:30.040 --> 02:30.340] simulator
[02:30.340 --> 02:32.340] [*]
[02:32.340 --> 02:32.860] um
[02:32.860 --> 02:34.580] [*]
[02:34.580 --> 02:34.820] so
[02:34.820 --> 02:35.080] you
[02:35.080 --> 02:35.280] might
[02:35.280 --> 02:35.600] think
[02:35.600 --> 02:35.860] it's
[02:35.860 --> 02:36.000] like
[02:36.000 --> 02:36.260] a
[02:36.260 --> 02:36.780] [*]
[02:36.780 --> 02:36.960] normal
[02:36.960 --> 02:37.360] game
[02:37.360 --> 02:37.660] where
[02:37.660 --> 02:37.900] you're
[02:37.900 --> 02:38.040] just
[02:38.040 --> 02:38.140] a
[02:38.140 --> 02:38.480] go
[02:38.480 --> 02:39.520] [*]
[02:39.520 --> 02:40.000] but
[02:40.000 --> 02:40.420] [*]
[02:40.420 --> 02:40.700] it
[02:40.700 --> 02:41.160] is
