/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:00.200] You
[00:29.500 --> 00:46.820] [*]
[00:46.820 --> 00:47.720] on
[00:47.720 --> 00:48.080] the
[00:48.080 --> 00:48.340] [*]
[00:48.340 --> 00:48.540] whole
[00:48.540 --> 00:48.720] very
[00:48.720 --> 00:48.980] well
[00:48.980 --> 00:49.440] I
[00:49.440 --> 00:50.240] haven't
[00:50.240 --> 00:50.500] been
[00:50.500 --> 00:50.800] sleeping
[00:50.800 --> 00:51.000] too
[00:51.000 --> 00:51.260] much
[00:51.260 --> 00:51.520] just
[00:51.520 --> 00:51.860] because
[00:51.860 --> 00:52.220] it's
[00:52.220 --> 00:52.380] the
[00:52.380 --> 00:52.640] sort
[00:52.640 --> 00:52.860] of
[00:52.860 --> 00:53.500] [*]
[00:53.500 --> 00:53.700] high
[00:53.700 --> 00:53.960] school
[00:53.960 --> 00:54.320] varsity
[00:54.320 --> 00:54.480] swim
[00:54.480 --> 00:54.720] season
[00:54.720 --> 00:55.200] [*]
[00:55.200 --> 00:55.420] and
[00:55.420 --> 00:55.800] that's
[00:55.800 --> 00:55.880] on
[00:55.880 --> 00:56.100] top
[00:56.100 --> 00:56.320] of
[00:56.320 --> 00:56.420] all
[00:56.420 --> 00:56.560] the
[00:56.560 --> 00:56.760] other
[00:56.760 --> 00:56.920] things
[00:56.920 --> 00:57.060] that
[00:57.060 --> 00:57.320] I'm
[00:57.320 --> 00:57.540] doing
[00:57.540 --> 00:58.100] [*]
[00:58.100 --> 00:58.580] but
[00:58.580 --> 00:58.600] [*]
[00:58.600 --> 00:58.960] hopefully
[00:58.960 --> 00:59.180] Thanksgiving
[00:59.180 --> 00:59.460] [*]
[00:59.460 --> 00:59.740] break
[00:59.740 --> 00:59.920] should
[00:59.920 --> 01:00.120] be
[01:00.120 --> 01:00.240] a
[01:00.240 --> 01:00.420] good
[01:00.420 --> 01:00.420] time
[01:00.420 --> 01:00.420] for
[01:00.420 --> 01:00.420] me
[01:00.420 --> 01:00.420] to
[01:00.420 --> 01:00.420] do
[01:00.420 --> 01:00.420] that
[01:00.420 --> 01:00.760] It
[01:00.760 --> 01:00.940] should
[01:00.940 --> 01:00.940] be
[01:00.940 --> 01:00.940] a
[01:00.940 --> 01:00.980] good
[01:00.980 --> 01:01.260] chance
[01:01.260 --> 01:01.500] to
[01:01.500 --> 01:01.720] get
[01:01.720 --> 01:02.060] caught
[01:02.060 --> 01:02.340] up
[01:02.340 --> 01:02.460] and
[01:02.460 --> 01:02.640] get
[01:02.640 --> 01:02.880] ahead
[01:02.880 --> 01:03.020] on
[01:03.020 --> 01:03.260] stuff
[01:16.860 --> 01:17.140] [*]
[01:17.140 --> 01:17.780] It's
[01:17.780 --> 01:17.980] been
[01:17.980 --> 01:18.000] [*]
[01:18.000 --> 01:18.340] on
[01:18.340 --> 01:18.580] the
[01:18.580 --> 01:18.780] whole
[01:18.780 --> 01:18.940] very
[01:18.940 --> 01:19.260] full
[01:20.360 --> 01:20.760] I
[01:20.760 --> 01:21.240] [*]
[01:21.240 --> 01:21.360] got
[01:21.360 --> 01:21.540] done
[01:21.540 --> 01:21.720] with
[01:21.720 --> 01:21.900] cross
[01:21.900 --> 01:22.240] country
[01:22.240 --> 01:22.420] in
[01:22.420 --> 01:22.800] October
[01:22.800 --> 01:23.800] [*]
[01:23.800 --> 01:24.040] and
[01:24.040 --> 01:24.600] [*]
[01:24.600 --> 01:24.780] as
[01:24.780 --> 01:24.920] I
[01:24.920 --> 01:25.200] said
[01:25.200 --> 01:25.800] [*]
[01:25.800 --> 01:25.920] swim
[01:25.920 --> 01:26.240] season
[01:26.240 --> 01:26.480] is
[01:26.480 --> 01:26.640] just
[01:26.640 --> 01:26.940] starting
[01:26.940 --> 01:27.220] up
[01:27.220 --> 01:27.420] and
[01:27.420 --> 01:27.660] then
[01:27.660 --> 01:27.940] there's
[01:27.940 --> 01:28.140] that
[01:28.140 --> 01:28.780] on
[01:28.780 --> 01:29.060] top
[01:29.060 --> 01:29.300] of
[01:29.300 --> 01:29.580] band
[01:29.580 --> 01:29.820] and
[01:29.820 --> 01:29.960] jazz
[01:29.960 --> 01:30.400] band
[01:30.400 --> 01:31.300] [*]
[01:31.300 --> 01:31.700] and
[01:31.700 --> 01:32.100] pep
[01:32.100 --> 01:32.360] band
[01:32.360 --> 01:32.660] and
