/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:19.460 --> 00:19.460] um
[00:19.460 --> 00:20.440] lately
[00:20.440 --> 00:22.280] [*]
[00:22.280 --> 00:22.460] things
[00:22.460 --> 00:22.700] have
[00:22.700 --> 00:22.880] been
[00:22.880 --> 00:22.960] on
[00:22.960 --> 00:23.140] the
[00:23.140 --> 00:23.580] uptick
[00:23.580 --> 00:24.080] uh
[00:24.080 --> 00:24.480] last
[00:24.480 --> 00:24.820] semester
[00:24.820 --> 00:25.100] was
[00:25.100 --> 00:25.320] very
[00:25.320 --> 00:25.560] [*]
[00:25.560 --> 00:25.740] draining
[00:25.740 --> 00:26.120] the
[00:26.120 --> 00:26.760] semesters
[00:26.760 --> 00:26.940] were
[00:26.940 --> 00:27.360] the
[00:27.360 --> 00:27.780] classes
[00:27.780 --> 00:28.020] were
[00:28.020 --> 00:28.340] very
[00:28.340 --> 00:28.800] [*]
[00:28.800 --> 00:29.020] challenging
[00:29.020 --> 00:29.520] [*]
[00:29.520 --> 00:30.160] um
[00:30.160 --> 00:30.740] but
[00:30.740 --> 00:31.580] it
[00:31.580 --> 00:31.780] was
[00:31.780 --> 00:31.880] a
[00:31.880 --> 00:32.120] very
[00:32.120 --> 00:32.620] well
[00:32.620 --> 00:33.560] used
[00:33.560 --> 00:34.420] break
[00:34.420 --> 00:34.720] i
[00:34.720 --> 00:35.100] definitely
[00:35.100 --> 00:35.480] needed
[00:35.480 --> 00:35.700] the
[00:36.600 --> 00:37.140] [*]
[00:37.140 --> 00:37.240] break
[00:37.240 --> 00:37.460] and
[00:37.460 --> 00:37.620] i
[00:37.620 --> 00:37.840] just
[00:37.840 --> 00:38.180] came
[00:38.180 --> 00:38.380] back
[00:38.380 --> 00:38.600] from
[00:38.600 --> 00:39.180] pennsylvania
[00:39.180 --> 00:39.600] my
[00:39.600 --> 00:39.940] family
[00:39.940 --> 00:40.220] lives
[00:40.220 --> 00:40.460] over
