/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:22.740 --> 00:22.740] Good
[00:23.200 --> 00:23.500] [*]
[00:23.500 --> 00:23.960] Just
[00:23.960 --> 00:24.280] busy
[00:28.320 --> 00:28.780] [*]
[00:28.780 --> 00:29.100] Just
[00:29.100 --> 00:29.600] school
[00:29.600 --> 00:30.080] And
[00:30.080 --> 00:30.320] then
[00:30.320 --> 00:30.740] work
[00:30.740 --> 00:31.040] I
[00:31.040 --> 00:31.240] work
[00:31.240 --> 00:31.340] in
[00:31.340 --> 00:31.480] a
[00:31.480 --> 00:31.660] research
[00:31.660 --> 00:31.980] lab
[00:31.980 --> 00:32.240] here
[00:35.780 --> 00:36.680] Genetics
[00:36.680 --> 00:36.880] [*]
[00:36.880 --> 00:37.000] research
[00:37.000 --> 00:37.340] We're
[00:37.340 --> 00:37.500] looking
[00:37.500 --> 00:37.860] [*]
[00:37.860 --> 00:38.060] at
[00:38.060 --> 00:38.540] [*]
[00:38.540 --> 00:38.780] the
[00:38.780 --> 00:39.160] sodium
[00:39.160 --> 00:39.600] [*]
[00:39.600 --> 00:40.060] gated
[00:40.060 --> 00:40.300] voltage
[00:40.300 --> 00:40.620] channels
[00:40.620 --> 00:40.760] We
[00:40.760 --> 00:40.960] found
[00:40.960 --> 00:41.200] new
[00:41.200 --> 00:41.460] [*]
[00:41.460 --> 00:41.680] proteins
[00:41.680 --> 00:41.880] that
[00:41.880 --> 00:42.120] exist
[00:42.120 --> 00:42.360] in
[00:42.360 --> 00:42.420] the
[00:42.420 --> 00:42.580] heart
[00:42.580 --> 00:42.660] and
[00:42.660 --> 00:42.760] the
[00:42.760 --> 00:43.060] brain
[00:43.060 --> 00:43.420] So
[00:43.420 --> 00:43.740] we're
[00:43.740 --> 00:43.800] trying
[00:43.800 --> 00:43.920] to
[00:43.920 --> 00:44.280] characterize
[00:44.280 --> 00:44.660] them
[00:44.660 --> 00:44.820] and
[00:44.820 --> 00:45.040] then
[00:45.040 --> 00:45.380] ultimately
[00:45.380 --> 00:45.780] create
[00:45.780 --> 00:46.020] gene
[00:46.020 --> 00:46.440] therapies
[00:46.440 --> 00:46.940] [*]
[00:46.940 --> 00:47.220] for
[00:47.220 --> 00:47.520] things
[00:47.520 --> 00:47.760] like
[00:47.760 --> 00:48.100] epilepsy
[00:48.460 --> 00:49.700] neuropathy
[00:49.820 --> 00:50.780] neuromuscular
[00:50.780 --> 00:51.040] disorder
[00:51.340 --> 00:51.500] and
[00:51.500 --> 00:51.640] things
[00:51.640 --> 00:51.840] like
[00:51.840 --> 00:52.020] that
[00:55.560 --> 00:56.240] I
[00:56.240 --> 00:56.540] did
[00:56.540 --> 00:56.860] research
[00:56.860 --> 00:57.160] all
[00:57.160 --> 00:57.380] throughout
[00:57.380 --> 00:57.520] high
[00:57.520 --> 00:57.680] [*]
[00:57.680 --> 00:57.820] school
[00:57.820 --> 00:58.040] and
[00:58.040 --> 00:58.200] kind
[00:58.200 --> 00:58.320] of
[00:58.320 --> 00:58.440] fell
[00:58.440 --> 00:58.520] in
[00:58.520 --> 00:58.660] love
[00:58.660 --> 00:58.840] with
[00:58.840 --> 00:59.200] research
[00:59.200 --> 00:59.680] there
[00:59.680 --> 01:00.020] But
[01:00.020 --> 01:00.560] I
[01:00.560 --> 01:00.660] was
[01:00.660 --> 01:00.820] really
[01:00.820 --> 01:01.140] interested
[01:01.140 --> 01:01.340] in
[01:01.400 --> 01:01.560] like
[01:01.580 --> 01:01.880] I
[01:01.880 --> 01:02.020] did
[01:02.020 --> 01:02.120] a
[01:02.120 --> 01:02.240] lot
[01:02.240 --> 01:02.340] of
[01:02.340 --> 01:02.660] diseases
[01:02.660 --> 01:03.080] [*]
[01:03.080 --> 01:03.220] with
