/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:17.440] [*]
[00:17.440 --> 00:17.840] Good
[00:18.240 --> 00:18.940] [*]
[00:18.940 --> 00:19.100] I
[00:19.100 --> 00:19.740] [*]
[00:19.740 --> 00:19.900] think
[00:19.900 --> 00:20.060] they're
[00:20.060 --> 00:20.300] good
[00:20.440 --> 00:21.900] [*]
[00:21.900 --> 00:22.020] Yeah
[00:22.020 --> 00:24.220] [*]
[00:24.220 --> 00:24.560] I
[00:24.560 --> 00:24.760] like
[00:24.760 --> 00:24.880] my
[00:24.880 --> 00:25.220] classes
[00:25.460 --> 00:25.880] I'm
[00:25.880 --> 00:26.180] excited
[00:26.180 --> 00:26.340] to
[00:26.340 --> 00:26.440] be
[00:26.440 --> 00:26.580] back
[00:26.580 --> 00:26.680] with
[00:26.680 --> 00:26.840] my
[00:26.840 --> 00:27.140] roommates
[00:27.140 --> 00:27.360] and
[00:27.360 --> 00:27.540] I
[00:27.540 --> 00:27.680] [*]
[00:27.680 --> 00:28.160] started
[00:28.160 --> 00:28.400] a
[00:28.400 --> 00:28.600] new
[00:28.600 --> 00:28.840] job
[00:28.840 --> 00:29.080] and
[00:29.080 --> 00:29.220] I
[00:29.220 --> 00:29.360] got
[00:29.360 --> 00:29.560] back
[00:29.560 --> 00:29.780] to
[00:29.780 --> 00:30.020] my
[00:30.020 --> 00:30.240] other
[00:30.240 --> 00:30.400] job
[00:30.520 --> 00:30.720] so
[00:33.820 --> 00:38.740] [*]
[00:38.740 --> 00:39.420] No
[00:39.660 --> 00:40.060] partially
[00:40.060 --> 00:40.480] because
