/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:00.840] [*]
[00:00.840 --> 00:01.320] Thank
[00:01.320 --> 00:01.620] you
[00:29.500 --> 00:30.320] So
[00:30.320 --> 00:31.060] I'm
[00:31.060 --> 00:31.180] just
[00:31.180 --> 00:31.360] trying
[00:31.360 --> 00:31.520] to
[00:31.520 --> 00:31.640] stay
[00:31.640 --> 00:31.800] on
[00:31.800 --> 00:31.920] top
[00:31.920 --> 00:32.060] of
[00:32.060 --> 00:32.340] that
[00:32.480 --> 00:32.860] But
[00:32.860 --> 00:33.400] school
[00:33.400 --> 00:34.100] [*]
[00:34.100 --> 00:34.400] has
[00:34.400 --> 00:34.640] [*]
[00:34.640 --> 00:34.820] ended
[00:34.820 --> 00:35.280] a
[00:35.280 --> 00:35.600] couple
[00:35.600 --> 00:35.800] weeks
[00:35.800 --> 00:36.160] ago
[00:36.260 --> 00:36.440] So
[00:36.440 --> 00:36.640] I've
[00:36.640 --> 00:36.780] just
[00:36.780 --> 00:36.980] been
[00:36.980 --> 00:37.440] [*]
[00:37.440 --> 00:37.600] relaxing
[00:37.600 --> 00:38.020] and
[00:38.020 --> 00:38.360] trying
[00:38.360 --> 00:38.560] to
[00:38.560 --> 00:38.800] regain
[00:38.800 --> 00:39.160] my
[00:39.200 --> 00:39.740] my
[00:39.740 --> 00:40.160] energy
[00:40.160 --> 00:40.520] for
[00:40.520 --> 00:40.700] the
[00:40.700 --> 00:40.900] [*]
[00:40.900 --> 00:41.020] next
[00:41.020 --> 00:41.340] semester
[00:48.300 --> 00:48.980] Mostly
[00:48.980 --> 00:49.340] [*]
[00:49.340 --> 00:49.580] just
[00:49.580 --> 00:50.200] catching
[00:50.200 --> 00:50.420] up
[00:50.420 --> 00:50.680] on
[00:50.680 --> 00:51.060] TV
[00:51.060 --> 00:51.260] [*]
[00:51.260 --> 00:51.480] shows
[00:51.480 --> 00:51.800] that
[00:51.800 --> 00:51.980] I've
[00:51.980 --> 00:52.100] been
[00:52.100 --> 00:52.300] missing
[00:52.300 --> 00:52.560] out
[00:52.560 --> 00:52.720] [*]
[00:52.720 --> 00:52.840] on
[00:52.840 --> 00:53.100] and
[00:53.100 --> 00:53.440] reading
[00:53.440 --> 00:53.900] [*]
[00:53.900 --> 00:54.180] and
[00:54.180 --> 00:54.720] [*]
[00:54.720 --> 00:55.080] I've
[00:55.080 --> 00:55.280] been
[00:55.280 --> 00:55.680] working
[00:55.680 --> 00:56.560] [*]
[00:56.560 --> 00:56.680] so
[00:56.680 --> 00:56.900] I
[00:56.900 --> 00:57.240] don't
[00:57.240 --> 00:57.320] have
[00:57.320 --> 00:57.500] to
[00:57.500 --> 00:57.640] really
[00:57.640 --> 00:57.860] worry
[00:57.860 --> 00:58.060] about
[00:58.060 --> 00:58.320] that
[00:58.320 --> 00:58.520] with
[00:58.520 --> 00:58.700] my
[00:58.700 --> 00:58.960] busy
[00:58.960 --> 00:59.560] semester
[00:59.560 --> 00:59.800] [*]
[00:59.800 --> 00:59.900] coming
[00:59.900 --> 01:00.140] up
[01:00.140 --> 01:04.020] [*]
[01:04.020 --> 01:04.480] I
[01:04.480 --> 01:04.640] work
[01:04.640 --> 01:04.960] at
[01:04.960 --> 01:05.140] 30
[01:05.140 --> 01:05.500] hop
[01:05.520 --> 01:05.920] I
[01:05.920 --> 01:06.520] serve
[01:06.520 --> 01:06.760] and
[01:06.760 --> 01:07.240] bartender
[01:17.720 --> 01:18.180] [*]
[01:18.180 --> 01:18.440] Things
[01:18.440 --> 01:18.640] have
[01:18.640 --> 01:18.780] been
[01:18.780 --> 01:18.940] going
[01:18.940 --> 01:19.180] good
[01:19.240 --> 01:19.380] I
[01:19.380 --> 01:19.540] just
[01:19.540 --> 01:19.820] saw
[01:19.820 --> 01:20.120] them
[01:20.120 --> 01:20.360] for
[01:20.360 --> 01:20.640] the
[01:20.640 --> 01:21.020] holidays
[01:21.200 --> 01:21.440] which
[01:21.440 --> 01:21.580] was
[01:21.580 --> 01:21.820] really
[01:21.820 --> 01:22.140] nice
[01:22.280 --> 01:22.480] I
[01:22.480 --> 01:22.640] have
[01:22.640 --> 01:22.820] some
[01:22.820 --> 01:23.080] family
[01:23.080 --> 01:23.320] up
[01:23.320 --> 01:23.440] in
