/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:26.560 --> 00:26.560] Um
[00:26.760 --> 00:27.200] [*]
[00:27.200 --> 00:27.300] pretty
[00:27.300 --> 00:27.860] good
[00:27.860 --> 00:28.500] Uh
[00:28.720 --> 00:28.860] we
[00:28.860 --> 00:29.120] haven't
[00:29.120 --> 00:29.260] really
[00:29.260 --> 00:29.440] been
[00:29.440 --> 00:29.520] at
[00:29.520 --> 00:29.760] school
[00:29.760 --> 00:30.240] much
[00:30.960 --> 00:31.360] So
[00:31.360 --> 00:31.640] that's
[00:31.640 --> 00:31.820] been
[00:31.820 --> 00:32.160] interesting
[00:32.160 --> 00:32.800] We've
[00:32.800 --> 00:32.980] been
[00:32.980 --> 00:33.160] doing
[00:33.160 --> 00:33.380] some
[00:33.380 --> 00:33.760] like
[00:33.760 --> 00:33.980] [*]
[00:33.980 --> 00:34.300] the
[00:34.300 --> 00:34.800] [*]
[00:34.800 --> 00:34.920] virtual
[00:34.920 --> 00:35.480] [*]
[00:35.480 --> 00:35.900] online
[00:35.900 --> 00:36.200] [*]
[00:36.200 --> 00:36.320] learning
[00:36.320 --> 00:36.600] [*]
[00:36.600 --> 00:36.760] days
[00:38.500 --> 00:38.740] And
[00:38.740 --> 00:39.140] I
[00:39.140 --> 00:39.380] [*]
[00:39.380 --> 00:39.620] don't
[00:39.620 --> 00:39.700] know
[00:39.700 --> 00:39.800] that
[00:39.800 --> 00:39.900] I
[00:39.900 --> 00:40.080] really
[00:40.080 --> 00:40.300] like
[00:40.300 --> 00:40.620] those
[00:42.840 --> 00:43.100] Yeah
[00:48.080 --> 00:48.080] Okay
[00:48.140 --> 00:48.460] So
[00:48.660 --> 00:48.940] um
[00:51.160 --> 00:51.480] I'm
[00:51.480 --> 00:51.520] going
[00:51.520 --> 00:51.620] to
[00:51.620 --> 00:52.080] [*]
[00:52.080 --> 00:52.320] turn
[00:52.320 --> 00:53.120] it
[00:53.120 --> 00:53.120] back
[00:53.120 --> 00:57.820] [*]
[00:57.820 --> 00:58.080] on
[00:58.160 --> 00:58.340] Yeah
[00:58.420 --> 00:59.000] Okay
[00:59.100 --> 00:59.660] [*]
[00:59.660 --> 01:00.140] I'll
[01:00.140 --> 01:00.480] try
[01:00.480 --> 01:00.860] to
[01:00.860 --> 01:01.440] sit
[01:01.440 --> 01:02.940] [*]
[01:02.940 --> 01:03.160] still
[01:19.380 --> 01:19.380] Yeah
[01:19.520 --> 01:19.720] because
[01:19.720 --> 01:20.400] [*]
[01:20.400 --> 01:20.840] it's
[01:20.840 --> 01:20.920] been
[01:20.920 --> 01:21.080] like
[01:21.080 --> 01:21.380] really
[01:21.380 --> 01:21.700] cold
[01:21.700 --> 01:21.980] here
[01:21.980 --> 01:22.280] and
[01:23.720 --> 01:23.720] snow
[01:23.720 --> 01:24.160] days
[01:25.000 --> 01:25.500] Okay
[01:26.020 --> 01:26.280] [*]
[01:26.280 --> 01:26.500] Okay
[01:27.020 --> 01:27.340] Okay
[01:27.340 --> 01:28.080] Okay
[01:28.100 --> 01:28.300] Okay
[01:29.100 --> 01:29.420] Okay
